emp_id,emp_code,first_name,last_name,dept,basic_salary,dob,email,date_joined,status
1,EMP0001,Employee1,Surname1,HR,130000,1986-05-01,emp1@payrollwise.in,2018-04-01,Active
2,EMP0002,Employee2,Surname2,Sales,35000,1985-12-01,emp2@payrollwise.in,2016-01-01,Active
3,EMP0003,Employee3,Surname3,Finance,45000,1980-02-01,emp3@payrollwise.in,2018-05-01,Active
4,EMP0004,Employee4,Surname4,Finance,45000,1982-12-01,emp4@payrollwise.in,2016-08-01,Active
5,EMP0005,Employee5,Surname5,HR,25000,1988-02-01,emp5@payrollwise.in,2016-02-01,Active
6,EMP0006,Employee6,Surname6,Sales,90000,1987-10-01,emp6@payrollwise.in,2018-03-01,Active
7,EMP0007,Employee7,Surname7,Ops,90000,1986-11-01,emp7@payrollwise.in,2015-05-01,Active
8,EMP0008,Employee8,Surname8,Finance,25000,1982-12-01,emp8@payrollwise.in,2019-10-01,Active
9,EMP0009,Employee9,Surname9,HR,65000,1983-03-01,emp9@payrollwise.in,2018-12-01,Active
10,EMP0010,Employee10,Surname10,Sales,90000,1989-08-01,emp10@payrollwise.in,2017-01-01,Active
11,EMP0011,Employee11,Surname11,HR,25000,1986-05-01,emp11@payrollwise.in,2019-12-01,Active
12,EMP0012,Employee12,Surname12,HR,45000,1988-01-01,emp12@payrollwise.in,2015-07-01,Active
13,EMP0013,Employee13,Surname13,HR,90000,1987-09-01,emp13@payrollwise.in,2015-02-01,Active
14,EMP0014,Employee14,Surname14,IT,35000,1981-01-01,emp14@payrollwise.in,2015-04-01,Active
15,EMP0015,Employee15,Surname15,Sales,45000,1981-04-01,emp15@payrollwise.in,2015-03-01,Active
16,EMP0016,Employee16,Surname16,IT,35000,1982-02-01,emp16@payrollwise.in,2016-11-01,Active
17,EMP0017,Employee17,Surname17,Ops,90000,1984-06-01,emp17@payrollwise.in,2017-02-01,Active
18,EMP0018,Employee18,Surname18,Finance,35000,1986-08-01,emp18@payrollwise.in,2016-03-01,Active
19,EMP0019,Employee19,Surname19,IT,90000,1981-04-01,emp19@payrollwise.in,2017-07-01,Active
20,EMP0020,Employee20,Surname20,Finance,25000,1980-04-01,emp20@payrollwise.in,2017-05-01,Active
21,EMP0021,Employee21,Surname21,Finance,45000,1984-03-01,emp21@payrollwise.in,2017-12-01,Active
22,EMP0022,Employee22,Surname22,Finance,35000,1984-07-01,emp22@payrollwise.in,2016-11-01,Active
23,EMP0023,Employee23,Surname23,HR,65000,1981-04-01,emp23@payrollwise.in,2019-03-01,Active
24,EMP0024,Employee24,Surname24,Finance,65000,1987-10-01,emp24@payrollwise.in,2015-04-01,Active
25,EMP0025,Employee25,Surname25,Sales,65000,1984-01-01,emp25@payrollwise.in,2016-03-01,Active
26,EMP0026,Employee26,Surname26,Finance,25000,1986-12-01,emp26@payrollwise.in,2017-08-01,Active
27,EMP0027,Employee27,Surname27,IT,45000,1981-01-01,emp27@payrollwise.in,2016-05-01,Active
28,EMP0028,Employee28,Surname28,IT,130000,1984-12-01,emp28@payrollwise.in,2018-03-01,Active
29,EMP0029,Employee29,Surname29,IT,65000,1989-03-01,emp29@payrollwise.in,2015-02-01,Active
30,EMP0030,Employee30,Surname30,Sales,130000,1985-03-01,emp30@payrollwise.in,2015-12-01,Active
31,EMP0031,Employee31,Surname31,HR,65000,1984-11-01,emp31@payrollwise.in,2016-03-01,Active
32,EMP0032,Employee32,Surname32,Finance,35000,1989-02-01,emp32@payrollwise.in,2015-12-01,Active
33,EMP0033,Employee33,Surname33,Ops,35000,1989-07-01,emp33@payrollwise.in,2017-02-01,Active
34,EMP0034,Employee34,Surname34,IT,45000,1982-02-01,emp34@payrollwise.in,2019-07-01,Active
35,EMP0035,Employee35,Surname35,Ops,130000,1988-03-01,emp35@payrollwise.in,2016-04-01,Active
36,EMP0036,Employee36,Surname36,Finance,45000,1981-08-01,emp36@payrollwise.in,2017-02-01,Active
37,EMP0037,Employee37,Surname37,HR,45000,1985-12-01,emp37@payrollwise.in,2019-10-01,Active
38,EMP0038,Employee38,Surname38,Finance,130000,1985-10-01,emp38@payrollwise.in,2019-07-01,Active
39,EMP0039,Employee39,Surname39,HR,90000,1982-03-01,emp39@payrollwise.in,2019-01-01,Active
40,EMP0040,Employee40,Surname40,IT,45000,1983-08-01,emp40@payrollwise.in,2016-10-01,Active
41,EMP0041,Employee41,Surname41,Finance,35000,1982-02-01,emp41@payrollwise.in,2018-03-01,Active
42,EMP0042,Employee42,Surname42,Finance,25000,1986-03-01,emp42@payrollwise.in,2015-08-01,Active
43,EMP0043,Employee43,Surname43,HR,45000,1981-08-01,emp43@payrollwise.in,2015-04-01,Active
44,EMP0044,Employee44,Surname44,HR,45000,1980-05-01,emp44@payrollwise.in,2015-10-01,Active
45,EMP0045,Employee45,Surname45,Finance,90000,1985-05-01,emp45@payrollwise.in,2019-09-01,Active
46,EMP0046,Employee46,Surname46,Finance,130000,1985-12-01,emp46@payrollwise.in,2015-12-01,Active
47,EMP0047,Employee47,Surname47,Sales,25000,1980-08-01,emp47@payrollwise.in,2019-04-01,Active
48,EMP0048,Employee48,Surname48,HR,90000,1985-02-01,emp48@payrollwise.in,2017-11-01,Active
49,EMP0049,Employee49,Surname49,Finance,45000,1982-10-01,emp49@payrollwise.in,2015-02-01,Active
50,EMP0050,Employee50,Surname50,Ops,90000,1987-02-01,emp50@payrollwise.in,2017-03-01,Active
51,EMP0051,Employee51,Surname51,HR,65000,1983-09-01,emp51@payrollwise.in,2019-06-01,Active
52,EMP0052,Employee52,Surname52,HR,130000,1989-07-01,emp52@payrollwise.in,2017-03-01,Active
53,EMP0053,Employee53,Surname53,IT,90000,1987-02-01,emp53@payrollwise.in,2015-08-01,Active
54,EMP0054,Employee54,Surname54,HR,130000,1986-04-01,emp54@payrollwise.in,2017-07-01,Active
55,EMP0055,Employee55,Surname55,Ops,35000,1986-04-01,emp55@payrollwise.in,2015-05-01,Active
56,EMP0056,Employee56,Surname56,Ops,45000,1985-04-01,emp56@payrollwise.in,2018-03-01,Active
57,EMP0057,Employee57,Surname57,Sales,45000,1981-11-01,emp57@payrollwise.in,2019-05-01,Active
58,EMP0058,Employee58,Surname58,Sales,90000,1980-06-01,emp58@payrollwise.in,2017-10-01,Active
59,EMP0059,Employee59,Surname59,Ops,45000,1983-11-01,emp59@payrollwise.in,2018-01-01,Active
60,EMP0060,Employee60,Surname60,Finance,90000,1989-06-01,emp60@payrollwise.in,2019-04-01,Active
61,EMP0061,Employee61,Surname61,IT,35000,1982-01-01,emp61@payrollwise.in,2016-12-01,Active
62,EMP0062,Employee62,Surname62,Ops,130000,1989-05-01,emp62@payrollwise.in,2017-09-01,Active
63,EMP0063,Employee63,Surname63,Finance,35000,1985-12-01,emp63@payrollwise.in,2016-11-01,Active
64,EMP0064,Employee64,Surname64,Sales,65000,1988-06-01,emp64@payrollwise.in,2019-04-01,Active
65,EMP0065,Employee65,Surname65,IT,90000,1987-09-01,emp65@payrollwise.in,2017-04-01,Active
66,EMP0066,Employee66,Surname66,Ops,65000,1984-04-01,emp66@payrollwise.in,2018-02-01,Active
67,EMP0067,Employee67,Surname67,HR,90000,1988-01-01,emp67@payrollwise.in,2019-07-01,Active
68,EMP0068,Employee68,Surname68,Finance,35000,1981-06-01,emp68@payrollwise.in,2015-12-01,Active
69,EMP0069,Employee69,Surname69,IT,65000,1988-02-01,emp69@payrollwise.in,2017-05-01,Active
