emp_id,emp_code,first_name,last_name,dept,designation,basic_salary,gender,dob,email,date_joined,status
1,EMP0001,Employee1,Surname1,IT,Engineer,51000,Male,1990-01-01,emp1@pw.in,2020-01-01,Active
2,EMP0002,Employee2,Surname2,IT,Engineer,52000,Male,1990-01-01,emp2@pw.in,2020-01-01,Active
3,EMP0003,Employee3,Surname3,IT,Engineer,53000,Male,1990-01-01,emp3@pw.in,2020-01-01,Active
4,EMP0004,Employee4,Surname4,IT,Engineer,54000,Male,1990-01-01,emp4@pw.in,2020-01-01,Active
5,EMP0005,Employee5,Surname5,IT,Engineer,55000,Male,1990-01-01,emp5@pw.in,2020-01-01,Active
6,EMP0006,Employee6,Surname6,IT,Engineer,56000,Male,1990-01-01,emp6@pw.in,2020-01-01,Active
7,EMP0007,Employee7,Surname7,IT,Engineer,57000,Male,1990-01-01,emp7@pw.in,2020-01-01,Active
8,EMP0008,Employee8,Surname8,IT,Engineer,58000,Male,1990-01-01,emp8@pw.in,2020-01-01,Active
9,EMP0009,Employee9,Surname9,IT,Engineer,59000,Male,1990-01-01,emp9@pw.in,2020-01-01,Active
10,EMP0010,Employee10,Surname10,IT,Engineer,60000,Male,1990-01-01,emp10@pw.in,2020-01-01,Active
11,EMP0011,Employee11,Surname11,IT,Engineer,61000,Male,1990-01-01,emp11@pw.in,2020-01-01,Active
12,EMP0012,Employee12,Surname12,IT,Engineer,62000,Male,1990-01-01,emp12@pw.in,2020-01-01,Active
13,EMP0013,Employee13,Surname13,IT,Engineer,63000,Male,1990-01-01,emp13@pw.in,2020-01-01,Active
14,EMP0014,Employee14,Surname14,IT,Engineer,64000,Male,1990-01-01,emp14@pw.in,2020-01-01,Active
15,EMP0015,Employee15,Surname15,IT,Engineer,65000,Male,1990-01-01,emp15@pw.in,2020-01-01,Active
16,EMP0016,Employee16,Surname16,IT,Engineer,66000,Male,1990-01-01,emp16@pw.in,2020-01-01,Active
17,EMP0017,Employee17,Surname17,IT,Engineer,67000,Male,1990-01-01,emp17@pw.in,2020-01-01,Active
18,EMP0018,Employee18,Surname18,IT,Engineer,68000,Male,1990-01-01,emp18@pw.in,2020-01-01,Active
19,EMP0019,Employee19,Surname19,IT,Engineer,69000,Male,1990-01-01,emp19@pw.in,2020-01-01,Active
20,EMP0020,Employee20,Surname20,IT,Engineer,70000,Male,1990-01-01,emp20@pw.in,2020-01-01,Active
21,EMP0021,Employee21,Surname21,IT,Engineer,71000,Male,1990-01-01,emp21@pw.in,2020-01-01,Active
22,EMP0022,Employee22,Surname22,IT,Engineer,72000,Male,1990-01-01,emp22@pw.in,2020-01-01,Active
23,EMP0023,Employee23,Surname23,IT,Engineer,73000,Male,1990-01-01,emp23@pw.in,2020-01-01,Active
24,EMP0024,Employee24,Surname24,IT,Engineer,74000,Male,1990-01-01,emp24@pw.in,2020-01-01,Active
25,EMP0025,Employee25,Surname25,IT,Engineer,75000,Male,1990-01-01,emp25@pw.in,2020-01-01,Active
26,EMP0026,Employee26,Surname26,IT,Engineer,76000,Male,1990-01-01,emp26@pw.in,2020-01-01,Active
27,EMP0027,Employee27,Surname27,IT,Engineer,77000,Male,1990-01-01,emp27@pw.in,2020-01-01,Active
28,EMP0028,Employee28,Surname28,IT,Engineer,78000,Male,1990-01-01,emp28@pw.in,2020-01-01,Active
29,EMP0029,Employee29,Surname29,IT,Engineer,79000,Male,1990-01-01,emp29@pw.in,2020-01-01,Active
30,EMP0030,Employee30,Surname30,IT,Engineer,80000,Male,1990-01-01,emp30@pw.in,2020-01-01,Active
31,EMP0031,Employee31,Surname31,IT,Engineer,81000,Male,1990-01-01,emp31@pw.in,2020-01-01,Active
32,EMP0032,Employee32,Surname32,IT,Engineer,82000,Male,1990-01-01,emp32@pw.in,2020-01-01,Active
