payroll_id,period_name,month,year,emp_code,employee_name,dept_name,desig_title,days_present,days_absent,basic_salary,hra,da,transport_allow,gross_salary,pf_employee,esi_employee,professional_tax,income_tax_tds,total_deductions,net_salary,status,payment_date
85,March 2026,3,2026,EMP025,Harish Chandra,Corporate Strategy,HR Executive,26,1,33703.7,10111.11,5729.63,1200.0,50744.44,1800.0,0.0,200.0,0.0,2000.0,48744.44,Paid,2026-03-31
64,March 2026,3,2026,EMP004,Sneha Reddy,Customer Support,HR Executive,27,0,30000.0,6000.0,4500.0,800.0,41300.0,1800.0,0.0,200.0,0.0,2000.0,39300.0,Paid,2026-03-31
86,March 2026,3,2026,EMP026,Preethi Nambiar,Customer Support,HR Executive,24,2,26851.85,5370.37,4027.78,800.0,37050.0,1800.0,0.0,200.0,0.0,2000.0,35050.0,Paid,2026-03-31
79,March 2026,3,2026,EMP019,Suresh Pillai,Cyber Security,Security Analyst,25,1,70296.3,24603.7,12653.33,1500.0,109053.33,1800.0,0.0,200.0,5316.33,7316.33,101737.0,Paid,2026-03-31
89,March 2026,3,2026,EMP029,Naveen Reddy,Cyber Security,Senior Security Analyst,24,2,81481.48,30962.96,16296.3,2000.0,130740.74,1800.0,0.0,200.0,8569.44,10569.44,120171.3,Paid,2026-03-31
68,March 2026,3,2026,EMP008,Kavitha Menon,Data Science & Analytics,Data Scientist,24,2,66666.67,23333.33,12000.0,1500.0,103500.0,1800.0,0.0,200.0,4483.33,6483.33,97016.67,Paid,2026-03-31
80,March 2026,3,2026,EMP020,Meena Krishnan,Data Science & Analytics,Senior Data Scientist,25,2,79629.63,30259.26,15925.93,2000.0,127814.82,1800.0,0.0,200.0,8130.56,10130.56,117684.26,Paid,2026-03-31
75,March 2026,3,2026,EMP015,Rahul Desai,DevOps & Platform Eng,DevOps Engineer,24,2,62962.96,22037.04,11333.33,1500.0,97833.33,1800.0,0.0,200.0,3741.67,5741.67,92091.66,Paid,2026-03-31
87,March 2026,3,2026,EMP027,Gaurav Khanna,DevOps & Platform Eng,Senior DevOps Engineer,24,2,85185.19,32370.37,17037.04,2000.0,136592.6,1800.0,0.0,200.0,9610.19,11610.19,124982.41,Paid,2026-03-31
66,March 2026,3,2026,EMP006,Ananya Iyer,Finance & Accounts,Accounts Executive,26,1,26962.96,5392.59,4044.44,800.0,37199.99,1800.0,0.0,200.0,0.0,2000.0,35199.99,Paid,2026-03-31
74,March 2026,3,2026,EMP014,Nisha Shah,Finance & Accounts,Senior Accountant,26,1,59703.7,20896.3,10746.67,1500.0,92846.67,1800.0,0.0,200.0,3243.0,5243.0,87603.67,Paid,2026-03-31
83,March 2026,3,2026,EMP023,Dinesh Sharma,Finance & Accounts,CFO,26,0,325000.0,146250.0,81250.0,30000.0,582500.0,1800.0,0.0,200.0,138708.33,140708.33,441791.67,Paid,2026-03-31
61,March 2026,3,2026,EMP001,Rajesh Kumar,Human Resources,HR Executive,25,1,43333.33,13000.0,7366.67,1200.0,64900.0,1800.0,0.0,200.0,536.67,2536.67,62363.33,Paid,2026-03-31
62,March 2026,3,2026,EMP002,Priya Sharma,Human Resources,HR Manager,25,1,120370.37,48148.15,26481.48,2500.0,197500.0,1800.0,0.0,200.0,23333.33,25333.33,172166.67,Paid,2026-03-31
88,March 2026,3,2026,EMP028,Shweta Pandey,Human Resources,HR Executive,27,0,27000.0,5400.0,4050.0,800.0,37250.0,1800.0,0.0,200.0,0.0,2000.0,35250.0,Paid,2026-03-31
63,March 2026,3,2026,EMP003,Amit Patel,Information Technology,Software Engineer,26,1,62592.59,21907.41,11266.67,1500.0,97266.67,1800.0,0.0,200.0,3685.0,5685.0,91581.67,Paid,2026-03-31
67,March 2026,3,2026,EMP007,Rohit Gupta,Information Technology,Senior Software Engineer,26,1,84740.74,32201.48,16948.15,2000.0,135890.37,1800.0,0.0,200.0,9469.74,11469.74,124420.63,Paid,2026-03-31
71,March 2026,3,2026,EMP011,Arjun Mehta,Information Technology,Tech Lead,25,1,130000.0,52000.0,28600.0,2500.0,213100.0,1800.0,0.0,200.0,27888.33,29888.33,183211.67,Paid,2026-03-31
